zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Dry,2011,48,345,297,208,0.8967497322428681,0.6575602053885752,0.23918952685429296,289.85823505506596,734.6371844950397,8303.275410749004,30.612391156248187,21.709116600918133,8.913526492656446,25.811095890410957,0.6138647543023988,15585.25,5630.499999999999,-0.7245477920152643,0.2669776695043328,0.4634875104452496
Dry,2012,69,363,294,183,0.9342771055300958,0.620695346902558,0.3135817586275378,275.99898589251006,865.6873590697745,6990.729739278493,32.45687515784079,21.855805024214366,10.279764367162915,18.907123287671233,0.49539904158878095,11438.2,3014.3000000000006,-0.697653588755434,0.24193747798117368,0.43479596632130985
Dry,2013,63,361,298,208,0.9167494457675014,0.6076979237933937,0.3090515219741077,282.9935355319898,581.1971788781791,12390.315414576287,30.72375528652557,21.756945619911395,9.08956357484781,23.465753424657535,0.5728423961103237,14104.350000000002,6492.700000000001,-0.7118857739170181,0.23251140599996858,0.4597610710118686
Dry,2014,71,331,260,200,0.923703426459703,0.6964292304265423,0.2272741960331608,286.67966521900235,277.9802741408088,6009.838222922095,31.33494459456706,21.524448322022575,9.814695651840065,19.23684931506849,0.4701795843774777,12346.199999999999,532.4500000000007,-0.7238223303676865,0.2723333117583231,0.44508096644989975
Dry,2015,64,338,274,176,0.9085037180961155,0.6795304491966976,0.22897326889941794,290.8914864725315,1017.0529706830296,9911.126762813004,31.260134220090293,21.607123963886945,9.30852148725702,24.912602739726022,0.6010687442110456,14959.149999999998,4203.9,-0.7274741795193042,0.25799772233971086,0.47943628874404565
Dry,2016,92,344,252,194,0.9020210688293522,0.6515545255425181,0.25046654328683404,280.11445994736084,498.78727749656235,13658.557986360756,31.885128571901923,21.78994013700006,10.096105039935322,19.45945205479452,0.48324367344173835,12979.700000000003,3653.4000000000015,-0.7120622962537804,0.24225443295367197,0.43185570776456184
Dry,2017,71,352,281,195,0.9289306215156234,0.6245847176079735,0.30434590390764993,285.06207550626885,737.8757403578301,7960.021835417032,30.982259375032687,21.57460884150213,9.361245129780622,21.225068493150687,0.5049669278225827,12269.150000000001,2495.75,-0.7196084670273759,0.2628257799137233,0.4702956450885853
Dry,2018,62,362,300,99,0.9059776358299538,0.6570562307385149,0.2489214050914389,289.218533410311,1382.86795275207,12417.591876013277,31.3838547796,21.147018029602762,10.232960849185735,24.054246575342464,0.6081454258512528,14233.75,3644.400000000001,-0.7287745705418787,0.27762289175348726,0.4725962138380169
Dry,2019,63,354,291,200,0.9397111660099833,0.7083509961848242,0.23136016982515906,294.5373814779205,935.8504284132357,10842.106063370073,29.85167110469879,21.42713173205729,8.521523472439217,23.55315068493151,0.5703118739137455,13926.95,4783.300000000001,-0.7383503388654405,0.27418849915746957,0.4640314561308439
Dry,2020,69,365,296,207,0.9257673506929002,0.7483860746144587,0.17738127607844145,304.9851118088494,1446.1873577526326,10972.669770115106,29.832031146935243,21.171889171761457,8.653030077897148,27.862739726027403,0.6761103167077929,15516.400000000003,5523.1,-0.7595094559015364,0.27903302764629095,0.5124192452575216
Dry,2021,86,365,279,216,0.9176123042580232,0.6366344005956814,0.28097790366234177,283.6723865859462,2.4279587060517605,21290.159591996566,29.49235789939777,21.07643670001691,8.710740912567516,24.279178082191784,0.620272376508157,14853.099999999997,5697.999999999998,-0.7155033244077987,0.24507333230402978,0.5024233320011411
Dry,2022,83,365,282,208,0.9317193589466564,0.7172693109523398,0.21445004799431655,292.780308530845,747.6007858445419,18305.391357148656,30.720846737347774,23.36731506849317,6.187726027397266,28.332876712328773,0.6382011694584107,15304.450000000003,10840.5,-0.726262322188746,0.26916559631687414,0.5265708146481463
Dry,2023,46,355,309,88,0.8518638662455749,0.7161894081845093,0.1356744580610656,285.4994991715823,1184.3094029629183,13009.324432019372,30.788959694209872,23.212560867941026,8.278682794928425,14.509589041095891,0.3842652609332845,10206.1,-1518.3000000000002,-0.7229469174363162,0.2641814176988663,0.48860959596031034
Dry,2024,86,365,279,167,0.9384650977087597,0.7336747759282971,0.20479032178046264,300.1481579120735,1419.797068053616,12207.357597993161,27.721269704770425,21.106355161790134,6.419196222683816,23.375342465753423,0.6035571780497271,15383.0,5084.499999999999,-0.7443733328010976,0.2914511369061917,0.5077433910040724
